datetime,title,crime_type,address,zip
2015-01-08T22:46:00-05:00,Four in car in Roxbury shot; one dead,Murder,104 Harrishof St.,02121
2015-01-06T19:40:00-05:00,"Police: After gunfire, teen arrested with loaded gun",Illegal gun possession,Johnston Rd. and Blue Hill Ave.,02124
2015-01-06T14:40:00-05:00,Man makes off with cigarettes in armed robbery of JP convenience store,Armed robbery,162 South St.,02130
2015-01-05T11:44:00-05:00,Man stopped for tinted windows in Roslindale faces gun and drug charges and deportation,Illegal gun possession,Hyde Park Ave. and Cummins Highway,02131
2015-01-04T19:00:00-05:00,Man shot at Roslindale house where alleged pot dealer was arrested in October,Shooting,9 Ridge St.,02131
2015-01-04T15:45:00-05:00,Shots fired on Dorchester street; bullet flies into apartment on street behind it,Gunfire,88 Devon St.,02121
2015-01-04T10:00:00-05:00,Bulgy-eyed man sought for indecent assault on Huntington Avenue,Indecent assault and battery,Huntington Ave. and W. Newton St.,02116
2015-01-04T02:45:00-05:00,"Off-duty Boston cop charged with beating Uber driver, stealing his car",Assault and battery,E. 1 St and Farragut Rd.,02127
2015-01-04T01:20:00-05:00,Woman pistol whipped in robbery near Ashmont station; victim&#039;s phone leads police right to suspects,Armed robbery,9 Alban St.,02124
2015-01-03T21:17:00-05:00,Woman robbed at gunpoint in Roslindale,Armed robbery,Washington St. and Granfield Ave.,02131
2015-01-03T18:50:00-05:00,Jamaica Plain gas station held up at gunpoint,Armed robbery,429 Centre St.,02130
2015-01-03T00:05:00-05:00,Police: 14-year-old with loaded gun in his waistband arrested,Illegal gun possession,Normandy St. and Creston St.,02121
2015-01-02T15:13:00-05:00,Shots fired near Morton Street,Gunfire,Nelson St and Selden St.,02124
2015-01-01T13:30:00-05:00,Man shot in the chest in Dorchester,Shooting,Olney St. and Inwood St.,02125
2016-11-12T17:45:00-05:00,Two shot on Mission Hill,Shooting,33 Smith St.,02120
2016-11-12T17:30:00-05:00,Man pistol whipped in Roslindale home invasion,Armed home invasion,659 Hyde Park Ave.,02131
2016-11-12T16:45:00-05:00,"One dead, one injured in Franklin Field shooting",Murder,50 Ames St.,02124
2016-11-12T01:58:00-05:00,Police say guy stabbed repeatedly outside JP bar remains tight lipped on attack,Stabbing,3520 Washington St.,02130
2016-11-11T19:50:00-05:00,Possible shootout in Roxbury sends two to the hospital,Shooting,Woodward St.,02127
2016-11-11T17:20:00-05:00,Teen shot on Milton/Mattapan line,Shooting,River St. and Central Ave.,02126
2016-11-08T22:50:00-05:00,Man shot to death in Mattapan,Murder,148 Savannah Ave.,02126
2016-11-07T07:40:00-05:00,"Trumpland, MA: Teens arrested on hate-crime charges after allegedly beating a woman with an accent on the Red Line",Assault and battery with a dangerous weapon,121 Savin Hill Ave.,02125
2016-11-05T10:00:00-04:00,"For second time in less than three weeks, somebody shot dead on Nazing Street in Roxbury",Murder,36 Nazing St.,02121
2016-11-05T00:40:00-04:00,"Man shot three times in Dorchester, dies",Murder,2 Bentham Rd.,02122
2016-11-03T21:20:00-04:00,Man sliced in the neck in Dudley Square,Stabbing,Washington St. and Roxbury St.,02119
2016-11-02T18:50:00-04:00,Man found with stab wounds in Roxbury,Stabbing,16 Akron St.,02119
2016-10-31T09:00:00-04:00,Student charged with bringing gun to K-8 school in Roxbury,Illegal gun possession,135 Humboldt Ave.,02121
2016-10-30T02:30:00-04:00,BC student sexually attacked near Chestnut Hill Reservoir,Rape,2000 Commonwealth Ave.,02135
2016-10-30T00:20:00-04:00,"Mattapan Line driver punched in the head, dragged off trolley by man in Halloween mask",Assault and battery,Fellsway St. and Milton St.,02124
2016-10-29T14:40:00-04:00,"Woman dead, teen injured in Dorchester shooting",Murder,152 Washington St.,02121
